"subject","predicate","object","type_s","type_o","urgency_level","recommended_action","safe_action","contraindicated_for","source_reference","confidence_level","last_updated"
"Large area thermal burn or scald","IS_RED_FLAG_FOR","Severe burn","Symptom","Condition","emergency","Call emergency services and arrange burn centre care if large or deep","Cool burn with running water for 20 minutes; remove constricting clothing/jewellery","","https://www.nhs.uk/conditions/burns-and-scalds/","high","2025-11-10"
"Head injury with persistent vomiting or drowsiness","IS_RED_FLAG_FOR","Traumatic brain injury","Symptom","Condition","urgent","Attend ED for observation and imaging if indicated","Do not give sedating medicines; keep child awake if advised","","https://www.nhs.uk/conditions/head-injury-children/","high","2025-11-10"
"Suspected ingestion of household poison","IS_RED_FLAG_FOR","Poisoning/toxic ingestion","Symptom","Condition","emergency","Call local poison control and attend ED immediately","If instructed, follow poison control advice; do not induce vomiting unless told","","https://www.cdc.gov/poisoning/prevention/index.html","high","2025-11-10"
"Airway obstruction from choking","IS_RED_FLAG_FOR","Airway obstruction","Symptom","Condition","emergency","Perform age-appropriate choking first aid (back blows/abdominal thrusts) and call emergency services","Encourage coughing if effective; do not perform blind finger sweeps","","https://www.cdc.gov/first-aid/choking.html","high","2025-11-10"
"Suspected non-accidental injury or signs of abuse","IS_RED_FLAG_FOR","Child safeguarding concern","Symptom","Condition","urgent","Arrange immediate safeguarding referral and medical assessment","Ensure child's immediate safety and follow local safeguarding procedures","","https://www.nhs.uk/conditions/child-abuse/","high","2025-11-10"
"Failure to thrive or weight loss in infant","IS_ASSOCIATED_WITH","Nutritional deficiency/underlying disease","Symptom","Condition","urgent","GP/pediatric referral for assessment and growth monitoring","Improve feeding frequency and technique; record weights","","https://www.nhs.uk/conditions/poor-growth-weight-loss-in-children/","high","2025-11-10"
"Persistent nasal discharge with high fever and facial pain","IS_ASSOCIATED_WITH","Sinusitis or complicated ENT infection","Symptom","Condition","urgent","ENT/GP assessment if prolonged or severe","Nasal saline and analgesia; seek review if worse","","https://www.nhs.uk/conditions/sinusitis/","high","2025-11-10"
"New-onset limp with fever and systemic signs","IS_RED_FLAG_FOR","Septic arthritis","Symptom","Condition","urgent","Immediate medical review and joint aspiration may be required","Immobilise limb and avoid weight-bearing","","https://www.nhs.uk/conditions/septic-arthritis/","high","2025-11-10"
"Irregular bleeding","IS_ASSOCIATED_WITH","Polycystic ovary syndrome (PCOS)","Symptom","Condition","routine","Refer to GP for hormonal evaluation and pelvic ultrasound if indicated","Keep a menstrual diary; note cycle length and flow","","https://www.nhs.uk/conditions/polycystic-ovary-syndrome-pcos/","high","2025-11-10"
"Painful periods (dysmenorrhea)","IS_ASSOCIATED_WITH","Endometriosis","Symptom","Condition","urgent","Refer for gynaecology assessment if pain severe or limits daily activities","Use heat packs and paracetamol for symptom relief; track pain severity","","https://www.nhs.uk/conditions/endometriosis/","high","2025-11-10"
"Heavy menstrual bleeding","IS_ASSOCIATED_WITH","Iron deficiency anemia","Symptom","Condition","urgent","Arrange GP review for blood tests and management (iron, investigation)","Record pad/tampon use to quantify blood loss; avoid NSAIDs if advised","","https://www.nhs.uk/conditions/heavy-periods/","high","2025-11-10"
"Heavy vaginal bleeding","IS_RED_FLAG_FOR","Miscarriage / Ectopic pregnancy","Symptom","Condition","emergency","Seek emergency obstetric assessment immediately","Lie down and seek transport; avoid heavy activity","","https://www.nhs.uk/pregnancy/related-conditions/complications/bleeding-in-pregnancy/","high","2025-11-10"
"Irregular bleeding between periods","IS_ASSOCIATED_WITH","Contraceptive side effect or cervical pathology","Symptom","Condition","routine","Review contraceptive history and refer for cervical screening if persistent","Avoid douching; note timing and any intercurrent medications","","https://www.nhs.uk/conditions/irregular-periods/","high","2025-11-10"
"Post-coital bleeding","IS_RED_FLAG_FOR","Cervical pathology (possible)","Symptom","Condition","urgent","Arrange urgent gynecology or colposcopy referral per local protocol","Avoid sexual activity until assessed","","https://www.nhs.uk/conditions/abnormal-uterine-bleeding/","high","2025-11-10"
"Painful intercourse (dyspareunia)","IS_ASSOCIATED_WITH","Endometriosis or vulvovaginitis","Symptom","Condition","routine","GP or gynecology review for exam and targeted investigation","Avoid painful positions; use lubrication","","https://www.nhs.uk/conditions/dyspareunia/","high","2025-11-10"
"Vaginal discharge with fishy odour","IS_ASSOCIATED_WITH","Bacterial vaginosis","Symptom","Condition","routine","See GP or sexual health clinic for testing and treatment","Avoid douching and scented products","","https://www.nhs.uk/conditions/bacterial-vaginosis/","high","2025-11-10"
"Vaginal itching with white curd-like discharge","IS_ASSOCIATED_WITH","Vulvovaginal candidiasis (thrush)","Symptom","Condition","routine","Treat with antifungal therapy as advised by pharmacist or GP if recurrent","Avoid tight synthetic underwear and maintain hygiene","","https://www.nhs.uk/conditions/thrush/","high","2025-11-10"
"Burning urination in non-pregnant woman","IS_ASSOCIATED_WITH","Urinary tract infection (UTI)","Symptom","Condition","routine","Urine test and antibiotic treatment if confirmed; consider same-day GP/pharmacy care","Increase fluids; avoid delaying treatment if systemic signs appear","","https://www.nhs.uk/conditions/urinary-tract-infection/","high","2025-11-10"
"Recurrent UTIs","RECOMMENDED_FOR","Urology / specialist review","Condition","Action","urgent","Refer to specialist for recurrent UTI assessment and prevention strategies","Consider post-coital urination and hydration strategies","","https://www.nhs.uk/conditions/recurrent-urinary-tract-infections/","high","2025-11-10"
"Lower abdominal pain with fever and abnormal discharge","IS_ASSOCIATED_WITH","Pelvic inflammatory disease (PID)","Symptom","Condition","urgent","Prompt medical assessment and antibiotics; consider sexual health screening","Avoid sexual activity until treated and partners treated if required","","https://www.nhs.uk/conditions/pelvic-inflammatory-disease-pid/","high","2025-11-10"
"New severe pelvic pain with fever after IUD insertion","IS_RED_FLAG_FOR","Severe pelvic infection","Symptom","Condition","urgent","Seek urgent gynecology care; consider device removal and IV antibiotics","Avoid sexual activity and contact clinician urgently","","https://www.nhs.uk/conditions/intrauterine-contraception-iuc/","high","2025-11-10"
"Post-menopausal bleeding","IS_RED_FLAG_FOR","Endometrial cancer (possible)","Symptom","Condition","urgent","Urgent referral for investigation (e.g., ultrasound, hysteroscopy)","Do not ignore bleeding after menopause; seek GP review promptly","","https://www.nhs.uk/conditions/postmenopausal-bleeding/","high","2025-11-10"
"New breast lump","IS_ASSOCIATED_WITH","Breast cancer (possible)","Symptom","Condition","urgent","Urgent referral to breast clinic for imaging and assessment","Avoid delaying medical review; note lump characteristics","","https://www.nhs.uk/conditions/breast-cancer/symptoms/","high","2025-11-10"
"Breast nipple discharge (blood-stained)","IS_RED_FLAG_FOR","Pathological breast condition","Symptom","Condition","urgent","Arrange urgent breast clinic review","Do not squeeze or manipulate nipple excessively","","https://www.nhs.uk/conditions/breast-lump/","high","2025-11-10"
"Severe abdominal pain in pregnancy","IS_RED_FLAG_FOR","Ectopic pregnancy / Pre-eclampsia","Symptom","Condition","emergency","Immediate obstetric assessment required","Lie on side, avoid taking NSAIDs, seek rapid transport","","https://www.nhs.uk/pregnancy/related-conditions/complications/bleeding-in-pregnancy/","high","2025-11-10"
"Reduced fetal movements after 28 weeks","IS_RED_FLAG_FOR","Fetal compromise","Symptom","Condition","urgent","Contact maternity unit urgently for fetal monitoring","Lie on side and count movements while awaiting assessment","","https://www.nhs.uk/pregnancy/related-conditions/reduced-fetal-movements/","high","2025-11-10"
"Threatened preterm labour signs (regular contractions before 37 weeks)","IS_RED_FLAG_FOR","Preterm labour","Symptom","Condition","urgent","Attend maternity triage for assessment and potential interventions","Avoid strenuous activity and note contraction timing","","https://www.nhs.uk/pregnancy/your-baby-in-utero/preterm-labour/","high","2025-11-10"
"Postpartum heavy bleeding","IS_RED_FLAG_FOR","Postpartum haemorrhage","Symptom","Condition","emergency","Call emergency services and go to hospital immediately","Lie flat and raise legs if safe; apply pressure if external","","https://www.who.int/health-topics/postpartum-hemorrhage","high","2025-11-10"
"Severe headache and visual disturbance in pregnancy","IS_RED_FLAG_FOR","Pre-eclampsia","Symptom","Condition","emergency","Urgent obstetric assessment for blood pressure and proteinuria","Do not ignore severe headaches in pregnancy; seek help immediately","","https://www.nhs.uk/pregnancy/related-conditions/pre-eclampsia/","high","2025-11-10"
"Amenorrhea with weight loss or excessive exercise","IS_ASSOCIATED_WITH","Hypothalamic amenorrhea / eating disorder","Symptom","Condition","urgent","Refer for endocrine and mental health assessment","Address nutrition and reduce excessive exercise; seek specialist help","","https://www.nhs.uk/conditions/absence-of-periods/","high","2025-11-10"
"Contraceptive combined pill","AVOID_IN","Smokers aged over 35 / uncontrolled hypertension","Action","Condition","routine","Offer alternative contraception and assess cardiovascular risk","Discuss progestogen-only options","","https://www.nhs.uk/conditions/contraception/combined-pill/","high","2025-11-10"
"Progestogen-only pill (mini-pill)","SAFE_FOR","Breastfeeding women","Action","Condition","routine","Consider progestogen-only methods for breastfeeding mothers","Start as advised post-partum; follow prescribing guidance","","https://www.nhs.uk/conditions/contraception/progestogen-only-pill/","high","2025-11-10"
"Emergency contraception needed after unprotected sex","RECOMMENDED_FOR","Levonorgestrel / IUD / Ulipristal options","Action","Condition","routine","Provide emergency contraception as per timeframe and local guidance; consider IUD if appropriate","Seek pharmacy or clinic same day for best effectiveness","","https://www.nhs.uk/conditions/emergency-contraception/","high","2025-11-10"
"HPV vaccination","RECOMMENDED_FOR","Prevention of cervical cancer","Action","Condition","routine","Offer HPV vaccination per national programme for eligible cohorts","Promote completion of vaccine schedule","","https://www.who.int/health-topics/human-papillomavirus-vaccines","high","2025-11-10"
"Cervical screening overdue","RECOMMENDED_FOR","Cervical cancer screening (smear test)","Action","Condition","routine","Advise booking a cervical screening appointment per national schedule","Explain the importance of screening in early detection","","https://www.nhs.uk/conditions/cervical-screening/","high","2025-11-10"
"Vaginal bleeding with severe abdominal pain postpartum","IS_RED_FLAG_FOR","Retained placenta / infection","Symptom","Condition","emergency","Seek immediate obstetric assessment and possible surgical management","Do not delay; go to emergency services","","https://www.who.int/health-topics/postpartum-hemorrhage","high","2025-11-10"
"Sexual assault survivor immediate care","IS_RED_FLAG_FOR","Forensic/clinical emergency","Symptom","Condition","emergency","Provide immediate medical, forensic and psychosocial care; offer emergency contraception and STI prophylaxis","Ensure privacy, consent, and safeguarding; refer to specialist services","","https://www.nhs.uk/conditions/rape-and-sexual-assault/","high","2025-11-10"
"Severe perineal pain with fever after childbirth","IS_RED_FLAG_FOR","Postpartum infection / wound sepsis","Symptom","Condition","urgent","Seek urgent medical review and antibiotic treatment if needed","Keep area clean; seek GP or ED if worsening","","https://www.nhs.uk/conditions/postnatal-care/","high","2025-11-10"
"Pelvic mass with systemic symptoms (weight loss, bleeding)","IS_RED_FLAG_FOR","Possible gynecological malignancy","Symptom","Condition","urgent","Urgent referral for gynaecology assessment and imaging","Do not delay; record symptoms and family history","","https://www.nhs.uk/conditions/ovarian-cancer/","high","2025-11-10"
"Acute confusion (sudden)","IS_RED_FLAG_FOR","Delirium/acute medical cause","Symptom","Condition","emergency","Seek urgent medical assessment to identify underlying cause (infection, metabolic, drugs)","Ensure safe environment, reorient patient, check medications","","https://www.nice.org.uk/guidance/cg103","high","2025-11-10"
"Chronic confusion/memory decline","IS_ASSOCIATED_WITH","Dementia","Symptom","Condition","routine","Refer for cognitive assessment and memory clinic as per local pathways","Provide caregiver support and safety measures at home","","https://www.nhs.uk/conditions/dementia/","high","2025-11-10"
"Recurrent falls","IS_ASSOCIATED_WITH","Orthostatic hypotension","Symptom","Condition","urgent","Assess for postural blood pressure changes and review medications","Advise slow position changes and review shoes/home hazards","","https://www.nhs.uk/conditions/orthostatic-hypotension/","high","2025-11-10"
"Single major fall with head impact","IS_RED_FLAG_FOR","Intracranial injury/hip fracture","Symptom","Condition","emergency","Attend ED immediately for imaging and orthopaedic/neurological assessment","Do not move patient unnecessarily; keep still until help arrives","","https://www.nhs.uk/conditions/falls-in-older-people/","high","2025-11-10"
"Recurrent falls with progressive imbalance","IS_ASSOCIATED_WITH","Parkinsonism/neurological disorder","Symptom","Condition","urgent","Refer for neurology or geriatric assessment and gait analysis","Remove trip hazards and consider physiotherapy","","https://www.nhs.uk/conditions/parkinsons-disease/","high","2025-11-10"
"Unintentional weight loss","IS_ASSOCIATED_WITH","Malnutrition/underlying illness","Symptom","Condition","urgent","Arrange nutritional assessment and screen for underlying causes","Offer nutrient-dense meals and dietary support","","https://www.nhs.uk/conditions/malnutrition/","high","2025-11-10"
"Reduced oral intake and weight loss","IS_RED_FLAG_FOR","Cancer or severe chronic disease","Symptom","Condition","urgent","Expedite diagnostic workup (bloods, imaging) and refer to specialist","Provide small frequent meals and consider supplements","","https://www.nhs.uk/conditions/unexplained-weight-loss/","high","2025-11-10"
"New urinary incontinence","IS_ASSOCIATED_WITH","Urinary tract infection or overflow","Symptom","Condition","urgent","Urinalysis and clinical review; treat UTI if confirmed","Encourage regular toileting and fluid balance chart","","https://www.nhs.uk/conditions/urinary-incontinence/","high","2025-11-10"
"Acute urinary retention","IS_RED_FLAG_FOR","Obstructive uropathy/renal risk","Symptom","Condition","urgent","Immediate medical assessment; catheterisation may be required","Do not delay seeking care; monitor renal function","","https://www.nhs.uk/conditions/urinary-retention/","high","2025-11-10"
"Polypharmacy","IS_ASSOCIATED_WITH","Drug interactions/adverse effects","Condition","Condition","urgent","Review medications regularly (deprescribing where appropriate) and check for interactions","Keep an accurate medication list and involve pharmacist","","https://www.nice.org.uk/guidance/ng5","high","2025-11-10"
"Orthostatic symptoms (dizziness on standing)","IS_ASSOCIATED_WITH","Postural hypotension","Symptom","Condition","urgent","Measure lying and standing BP; review causative drugs and fluid status","Advise slow standing, compression stockings if advised","","https://www.nhs.uk/conditions/orthostatic-hypotension/","high","2025-11-10"
"Shortness of breath on minimal exertion","IS_ASSOCIATED_WITH","Heart failure exacerbation","Symptom","Condition","urgent","Clinical review, CXR and BNP/ECG; urgent cardiology/GP input","Sit upright, limit exertion, monitor weight and breathlessness","","https://www.nhs.uk/conditions/heart-failure/","high","2025-11-10"
"Acute chest pain in elderly","IS_RED_FLAG_FOR","Acute coronary syndrome","Symptom","Condition","emergency","Call emergency services immediately for ECG and urgent care","Keep person at rest and avoid food/drink until assessed","","https://www.nhs.uk/conditions/heart-attack/","high","2025-11-10"
"New-onset dysphagia (difficulty swallowing)","IS_RED_FLAG_FOR","Aspiration risk/obstruction","Symptom","Condition","urgent","Refer urgently for swallowing assessment and consider ENT/gastroenterology review","Avoid thin liquids if high aspiration risk; seek specialist advice","","https://www.nhs.uk/conditions/dysphagia/","high","2025-11-10"
"Pressure area redness with non-blanching ulcer","IS_RED_FLAG_FOR","Pressure ulcer (skin breakdown)","Symptom","Condition","urgent","Specialist wound care referral and pressure offloading required","Reposition regularly and use pressure-relieving devices","","https://www.nhs.uk/conditions/pressure-sores/","high","2025-11-10"
"Acute severe dehydration signs (confusion, low urine)","IS_ASSOCIATED_WITH","Acute kidney injury/dehydration","Symptom","Condition","urgent","Restore fluids per clinical guidance and check renal function","Offer sips of appropriate fluids; avoid excessive diuretics until reviewed","","https://www.nhs.uk/conditions/dehydration/","high","2025-11-10"
"New gait disturbance and slowness","IS_ASSOCIATED_WITH","Normal pressure hydrocephalus/neurological disease","Symptom","Condition","urgent","Neurology or geriatric assessment and imaging may be needed","Ensure safe walking aids and home modifications","","https://www.nhs.uk/conditions/normal-pressure-hydrocephalus/","high","2025-11-10"
"Depression with social withdrawal","IS_ASSOCIATED_WITH","Risk of self-neglect and isolation","Condition","Condition","urgent","Offer mental health assessment and social support referral","Encourage social contact and community services","","https://www.nhs.uk/conditions/mental-health-in-older-people/","high","2025-11-10"
"Severe uncontrolled chronic pain in elderly","IS_RED_FLAG_FOR","Functional decline and falls risk","Symptom","Condition","urgent","Review analgesia plan urgently; consider multimodal pain management and specialist referral","Avoid sedating medications that increase fall risk where possible","","https://www.nice.org.uk/guidance/ng59","high","2025-11-10"
"New-onset visual impairment","IS_ASSOCIATED_WITH","Retinal disease or stroke","Symptom","Condition","urgent","Prompt ophthalmology or stroke assessment depending on features","Avoid driving and ensure home safety until reviewed","","https://www.nhs.uk/conditions/eye-disorders/","high","2025-11-10"
"NSAIDs","AVOID_IN","Kidney disease","Action","Condition","routine","Avoid NSAIDs; seek alternatives with clinician","Prefer paracetamol if suitable after advice","Kidney disease","https://www.nhs.uk/medicines/ibuprofen/","high","2025-11-10"
"NSAIDs","AVOID_IN","Heart failure","Action","Condition","routine","Avoid due to fluid retention risk","Discuss pain plans with cardiology/GP","Heart failure","https://www.nhs.uk/medicines/ibuprofen/","high","2025-11-10"
"NSAIDs","AVOID_IN","Uncontrolled hypertension","Action","Condition","routine","Avoid decongestants/NSAIDs that raise BP","Use saline sprays and paracetamol if appropriate","Hypertension","https://www.nhs.uk/common-health-questions/medicines/are-decongestants-safe/","high","2025-11-10"
"NSAIDs","AVOID_IN","Pregnancy third trimester","Action","Condition","routine","Do not use in late pregnancy","Seek obstetric-safe alternatives","Pregnancy","https://www.nhs.uk/pregnancy/keeping-well/medicines/","high","2025-11-10"
"NSAIDs","AVOID_IN","Peptic ulcer/bleeding disorder","Action","Condition","routine","Avoid due to bleed risk","Consider gastro-safe plans with clinician","Bleeding disorders","https://www.nhs.uk/medicines/ibuprofen/","high","2025-11-10"
"Ibuprofen","AVOID_IN","Chronic kidney disease","Action","Condition","routine","Avoid or use only if clinician says okay","Prefer paracetamol if suitable","Kidney disease","https://www.nhs.uk/medicines/ibuprofen/","high","2025-11-10"
"Ibuprofen","AVOID_IN","Dehydrated child","Action","Condition","routine","Avoid in dehydrated children (AKI risk)","Rehydrate first and seek advice","Children dehydration","https://www.nhs.uk/medicines/ibuprofen-for-children/","high","2025-11-10"
"Aspirin","AVOID_IN","Children with viral illness","Action","Condition","routine","Do not give aspirin to children (Reye’s risk)","Use child-safe alternatives as advised","Children","https://www.nhs.uk/medicines/aspirin-for-children/","high","2025-11-10"
"Aspirin","AVOID_IN","Bleeding disorders","Action","Condition","routine","Avoid unless prescribed specialist","Discuss safer options","Bleeding disorders","https://www.nhs.uk/medicines/aspirin/","high","2025-11-10"
"Aspirin","AVOID_IN","Peptic ulcer disease","Action","Condition","routine","Avoid due to ulcer/bleed risk","Seek gastro advice if needed","Ulcer disease","https://www.nhs.uk/medicines/aspirin/","high","2025-11-10"
"Aspirin","AVOID_IN","Pregnancy (late)","Action","Condition","routine","Avoid in late pregnancy unless specialist indicates","Use pregnancy-safe pain plans","Pregnancy","https://www.nhs.uk/pregnancy/keeping-well/medicines/","high","2025-11-10"
"Paracetamol (high dose)","AVOID_IN","Liver disease","Action","Condition","routine","Avoid high doses; seek clinician guidance","Use lowest needed dose under advice","Liver disease","https://www.nhs.uk/medicines/paracetamol/","high","2025-11-10"
"Paracetamol","SAFE_FOR","Pregnancy (usual doses)","Action","Condition","routine","Generally safe at usual doses; confirm if unsure","Follow label/clinician advice","Pregnancy","https://www.nhs.uk/pregnancy/keeping-well/medicines/","high","2025-11-10"
"Decongestants (pseudoephedrine)","AVOID_IN","Hypertension","Action","Condition","routine","Avoid; can raise blood pressure","Use saline spray/steam with caution","Hypertension","https://www.nhs.uk/common-health-questions/medicines/are-decongestants-safe/","high","2025-11-10"
"Decongestants (pseudoephedrine)","AVOID_IN","Heart disease","Action","Condition","routine","Avoid; stimulant effects","Consider non-drug options","Heart disease","https://www.nhs.uk/common-health-questions/medicines/are-decongestants-safe/","high","2025-11-10"
"Decongestants (pseudoephedrine)","AVOID_IN","Hyperthyroidism","Action","Condition","routine","Avoid stimulants with overactive thyroid","Seek GP/pharmacy advice","Hyperthyroidism","https://www.nhs.uk/common-health-questions/medicines/are-decongestants-safe/","high","2025-11-10"
"Sedating antihistamines","AVOID_IN","Elderly fall risk","Action","Condition","routine","Avoid due to drowsiness and falls","Prefer non-sedating options if needed","Elderly","https://www.nhs.uk/conditions/antihistamines/","high","2025-11-10"
"Sedating antihistamines","AVOID_IN","Glaucoma/BPH","Action","Condition","routine","Avoid may worsen retention/pressure","Seek non-anticholinergic options","Glaucoma/BPH","https://www.nhs.uk/conditions/antihistamines/","high","2025-11-10"
"Cough suppressants (codeine)","AVOID_IN","Children/asthma","Action","Condition","routine","Avoid in children and asthma due to suppression/safety","Use honey (adults) or fluids; seek advice","Children/asthma","https://www.nhs.uk/conditions/cough/","high","2025-11-10"
"Dextromethorphan","AVOID_IN","MAOI use","Action","Condition","routine","Do not combine with MAOIs (interaction)","Consult clinician before use","MAOI therapy","https://www.nhs.uk/conditions/cough/","high","2025-11-10"
"Metronidazole","AVOID_IN","Alcohol use","Action","Condition","routine","Avoid alcohol during treatment and shortly after","Follow pharmacist/GP timing advice","Alcohol use","https://www.nhs.uk/medicines/metronidazole/","high","2025-11-10"
"Grapefruit juice","AVOID_IN","Statins (certain)","Action","Condition","routine","Avoid with certain statins; interaction risk","Check medicine leaflet or pharmacist","Statin therapy","https://www.nhs.uk/common-health-questions/medicines/which-foods-drinks-should-i-avoid/","high","2025-11-10"
"Grapefruit juice","AVOID_IN","Calcium channel blockers (some)","Action","Condition","routine","Avoid with interacting CCBs","Confirm with pharmacist","CCB therapy","https://www.nhs.uk/common-health-questions/medicines/which-foods-drinks-should-i-avoid/","high","2025-11-10"
"St John’s wort","AVOID_IN","SSRI/warfarin/OCP interactions","Action","Condition","routine","Avoid with many meds (reduces effectiveness)","Consult clinician before use","Multiple medicines","https://www.nhs.uk/conditions/st-johns-wort/","high","2025-11-10"
"Alcohol","AVOID_IN","Pregnancy","Action","Condition","routine","Avoid alcohol completely in pregnancy","Choose alcohol-free options","Pregnancy","https://www.nhs.uk/pregnancy/keeping-well/drinking-alcohol-while-pregnant/","high","2025-11-10"
"Alcohol","AVOID_IN","Liver disease","Action","Condition","routine","Avoid alcohol entirely","Seek support for stopping","Liver disease","https://www.who.int/teams/mental-health-and-substance-use/alcohol","high","2025-11-10"
"Alcohol","AVOID_IN","While on sedatives/opioids","Action","Condition","routine","Do not mix alcohol with sedatives opioids or sleep meds","Follow medicine label warnings","Sedative meds","https://www.cdc.gov/medicationsafety/basics.html","high","2025-11-10"
"Smoking","AVOID_IN","Pregnancy","Action","Condition","routine","Avoid smoking; seek cessation support","Use nicotine replacement only under guidance","Pregnancy","https://www.nhs.uk/pregnancy/keeping-well/smoking-and-pregnancy/","high","2025-11-10"
"Smoking","AVOID_IN","Asthma/COPD","Action","Condition","routine","Stop smoking to reduce attacks/exacerbations","Access cessation services","Asthma/COPD","https://www.who.int/health-topics/tobacco","high","2025-11-10"
"High sodium diet","AVOID_IN","Hypertension","Action","Condition","routine","Reduce salt; check labels","Aim for low-salt choices","Hypertension","https://www.who.int/news-room/fact-sheets/detail/salt-reduction","high","2025-11-10"
"High sodium diet","AVOID_IN","Heart failure","Action","Condition","routine","Restrict salt to reduce fluid retention","Follow heart-failure plan","Heart failure","https://www.nhs.uk/conditions/heart-failure/","high","2025-11-10"
"Sugary drinks","AVOID_IN","Diabetes","Action","Condition","routine","Avoid sugar-sweetened beverages","Choose water/unsweetened drinks","Diabetes","https://www.who.int/health-topics/diabetes","high","2025-11-10"
"High vitamin A supplements","AVOID_IN","Pregnancy","Action","Condition","routine","Avoid high-dose vitamin A (teratogenic)","Use prenatal vitamins recommended","Pregnancy","https://www.nhs.uk/pregnancy/keeping-well/vitamins-supplements-and-nutrition/","high","2025-11-10"
"Retinoid acne medicines","AVOID_IN","Pregnancy","Action","Condition","routine","Contraindicated in pregnancy; specialist supervision only","Use contraception if prescribed","Pregnancy","https://www.nhs.uk/medicines/isotretinoin-capsules/","high","2025-11-10"
"Herbal/ayurvedic unknown","AVOID_IN","Pregnancy/breastfeeding","Action","Condition","routine","Avoid unverified herbal products","Consult clinician before use","Pregnancy/BF","https://www.nhs.uk/pregnancy/keeping-well/medicines/","high","2025-11-10"
"Contrast dye (iodinated)","AVOID_IN","Severe kidney disease","Action","Condition","routine","Avoid or pre-assess renal function; use alternatives","Hydration per clinician advice","Kidney disease","https://www.nhs.uk/conditions/ct-scan/risks/","high","2025-11-10"
"Live vaccines","AVOID_IN","Pregnancy/immunosuppression","Action","Condition","routine","Avoid live vaccines in pregnancy/immunosuppressed; use inactivated where indicated","Confirm schedule with clinician","Pregnancy/Immunosuppression","https://www.cdc.gov/vaccines/hcp/acip-recs/general-recs/contraindications.html","high","2025-11-10"
"Antibiotics (leftover)","AVOID_IN","Future self-medication","Action","Condition","routine","Do not reuse leftovers or share antibiotics","Return unused meds to pharmacy","All","https://www.who.int/news-room/fact-sheets/detail/antimicrobial-resistance","high","2025-11-10"
"Multiple cold meds","AVOID_IN","Duplicate paracetamol","Action","Condition","routine","Avoid combining products with paracetamol","Read labels to prevent overdose","All","https://www.nhs.uk/medicines/paracetamol/","high","2025-11-10"
"Sedatives (benzodiazepines)","AVOID_IN","Elderly/fall risk","Action","Condition","routine","Avoid long-term use; risk of falls and dependence","Discuss non-drug sleep/anxiety options","Elderly","https://www.nice.org.uk/guidance/CG113","high","2025-11-10"
"Opioids","AVOID_IN","Alcohol/sedatives combination","Action","Condition","routine","Do not combine; overdose risk","Follow pain plan; lock medicines safely","Sedative use","https://www.cdc.gov/opioids/basics/","high","2025-11-10"
"Steam inhalation (very hot)","AVOID_IN","Children/burn risk","Action","Condition","routine","Avoid hot steam burns; use warm mist at distance","Use saline drops instead for infants","Children","https://www.nhs.uk/conditions/common-cold/","high","2025-11-10"
"Honey","AVOID_IN","Infants under 1 year","Action","Condition","routine","Do not give honey to infants (botulism risk)","Use other soothing fluids as advised","Infants <1","https://www.nhs.uk/conditions/food-poisoning/botulism/","high","2025-11-10"
"Teething gels (lidocaine)","AVOID_IN","Infants (certain products)","Action","Condition","routine","Avoid lidocaine-containing gels in infants","Use chilled teething rings instead","Infants","https://www.nhs.uk/conditions/baby/teething/","high","2025-11-10"
"Energy drinks/high caffeine","AVOID_IN","Hypertension/anxiety","Action","Condition","routine","Avoid; can raise BP and worsen anxiety","Choose water or low-caffeine options","HTN/Anxiety","https://www.nhs.uk/live-well/eat-well/food-types/drinks/energy-drinks/","high","2025-11-10"
"Raw/undercooked foods","AVOID_IN","Pregnancy","Action","Condition","routine","Avoid foods with listeria/toxoplasma risk","Follow pregnancy food safety guidance","Pregnancy","https://www.nhs.uk/pregnancy/keeping-well/foods-to-avoid/","high","2025-11-10"
"Bed rest (prolonged)","AVOID_IN","Back pain (non-specific)","Action","Condition","routine","Avoid prolonged bed rest; gentle movement helps","Use heat and paced activity","Back pain","https://www.nhs.uk/conditions/back-pain/treatment/","high","2025-11-10"
"Cold/ice directly on skin","AVOID_IN","Skin damage risk","Action","Condition","routine","Wrap ice pack in cloth; limit time","Follow RICE principles safely","All","https://www.nhs.uk/conditions/sprains-and-strains/","high","2025-11-10"
"Topical steroid overuse","AVOID_IN","Face/skin thinning","Action","Condition","routine","Avoid prolonged unsupervised facial steroid use","Follow clinician plan; lowest potency needed","Face/children","https://www.nhs.uk/conditions/eczema/treatment/","high","2025-11-10"
"Ear candles","AVOID_IN","Wax removal","Action","Condition","routine","Do not use (harm/burn risk)","Use drops or clinician removal","All","https://www.nhs.uk/conditions/earwax-build-up/","high","2025-11-10"
"Cotton buds in ear","AVOID_IN","Ear canal injury","Action","Condition","routine","Avoid inserting objects into ear","Use softening drops or nurse clinic","All","https://www.nhs.uk/conditions/earwax-build-up/","high","2025-11-10"
"Antacids (aluminum)","AVOID_IN","Severe kidney disease","Action","Condition","routine","Avoid accumulation; seek alternatives","Consult clinician for reflux plan","Kidney disease","https://www.nhs.uk/conditions/indigestion/treatment/","high","2025-11-10"
"Laxative overuse","AVOID_IN","Electrolyte imbalance","Action","Condition","routine","Avoid chronic stimulant laxative misuse","Use fiber/fluids and advice","All","https://www.nhs.uk/conditions/constipation/treatment/","high","2025-11-10"
